CODIGO,TRABALHO,COLECAO,ARTE/HOT,SERVICO_GERAL,SERVICO_ESPECIFICO,DATA,QUANTIDADE,PRECO_TOTAL,PRECO_UNIT
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,30/05/2023,275,340,1.24
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,30/05/2023,730,340,0.47
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,30/05/2023,600,371.40,0.62
,ASTRAL,COLEÇÃO 2024,PROTÓTIPOS,LAMINAÇÃO,LAM. FOSCA FR,06/06/2023,242,340,1.40
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,06/06/2023,345,340,0.99
,ASTRAL,COLEÇÃO 2024,PROTÓTIPOS,LAMINAÇÃO,LAM. FOSCA FR,06/06/2023,950,340,0.36
,ASTRAL,COLEÇÃO 2024,PROTÓTIPOS,LAMINAÇÃO,LAM. FOSCA FR,06/06/2023,32,51.20,1.60
,RIO,COLEÇÃO 2023,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,06/06/2023,570,352.83,0.62
,POLEN,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,20/06/2023,400,340,0.85
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,20/06/2023,27,43.20,1.60
,POLEN,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,20/06/2023,413,340,0.82
,POLEN,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,20/06/2023,35,56,1.60
,PASSAROS,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,20/06/2023,455,340,0.75
,PASSAROS,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,20/06/2023,54,86.40,1.60
,PASSAROS,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,20/06/2023,68,100.80,1.48
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,20/06/2023,520,340,0.65
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,20/06/2023,370,340,0.92
,PASSAROS,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,20/06/2023,340,340,1
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,20/06/2023,20,32,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,20/06/2023,390,340,0.87
,PERSONALIZADO,2023,PERSONALIZADO,VERNIZ,VERNIZ LOCALIZADO,20/06/2023,390,205,0.53
,,,,PRÉ-PRODUÇÃO,GRAVAÇÃO DE TELA,20/06/2023,1,185,185
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,03/07/2023,12,19.20,1.60
,PERSONALIZADO,2023,PERSONALIZADO,VERNIZ,VERNIZ LOCALIZADO,03/07/2023,1,185,185
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,03/07/2023,8,12.80,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,03/07/2023,785,340,0.43
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,03/07/2023,110,176,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,03/07/2023,255,340,1.33
