CODIGO,COD_REDUZIDO,PRODUTO,FAMILIA,STATUS,TOTAL
7899866826267,6267,Agenda Planner Ciceros 2025 Melissa Semanal 14x21 Casa das Abelhas Rosê,MELISSA,Lançamento,1675
7899866826274,6274,Agenda Planner Ciceros 2025 Bossa Nova Semanal 9x13 Pontos Azul,BOSSA NOVA,Lançamento,1830
7899866826281,6281,Agenda Planner Ciceros 2025 Melissa Semanal Anotações 14x21 Casa das Abelhas Lilás,MELISSA,Lançamento,1990
7899866826298,6298,"Agenda Planner Ciceros 2025 Bossa Nova Semanal Planejamento 17x19,5 Boemia",BOSSA NOVA,Lançamento,1250
7899866826304,6304,Agenda Planner Ciceros 2025 Pólen Diária 14x21 Aromas Off White,POLEN,Lançamento,1450
7899866826311,6311,Agenda Planner Ciceros 2025 Pólen Semanal 14x21 Aromas Off White,POLEN,Lançamento,2175
7899866826328,6328,Agenda Planner Ciceros 2025 Pólen Semanal 9x13 Aromas Amarelo,POLEN,Lançamento,1925
7899866826335,6335,Agenda Planner Ciceros 2025 Pólen Semanal Anotações 14x21 Aromas Azul,POLEN,Lançamento,2075
7899866826342,6342,"Agenda Planner Ciceros 2025 Pólen Semanal Planejamento 17x19,5 Aromas Azul",POLEN,Lançamento,1150
7899866826359,6359,"Agenda Planner Wire-o 2025 Astral Diária 11,5x16 Maré Azul",ASTRAL,Lançamento,1088
7899866826366,6366,Agenda Planner Wire-o 2025 Astral Diária A5 Eclipse Preto,ASTRAL,Lançamento,1685
7899866826373,6373,Agenda Planner Wire-o 2025 Astral Semanal Anotações A5 Maré Azul,ASTRAL,Lançamento,1690
7899866826380,6380,Agenda Planner Wire-o 2025 Astral Semanal Notas c/ Divisórias A5 Eclipse Preto,ASTRAL,Lançamento,980
